,Food,Measure,Grams,Calories,Protein,Sat.Fat,Fiber,Carbs,Category
292,Honey,2 T.,42,120.0,42,0.0,0.0,30.0,"Jams, Jellies"
293,Ice cream,2 cups,300,250.0,300,12.0,10.0,0.0,"Desserts, sweets"
294,Ices,1 cup,150,117.0,150,0.0,0.0,48.0,"Desserts, sweets"
296,Jellies,1 T.,20,50.0,20,0.0,0.0,13.0,"Jams, Jellies"
297,Molasses,1 T.,20,45.0,20,0.0,8.0,11.0,"Jams, Jellies"
298,Cane Syrup,1 T.,20,50.0,20,0.0,0.0,13.0,"Jams, Jellies"
299,"9"" diam. pie",1 slice,135,330.0,135,11.0,1.0,53.0,"Desserts, sweets"
300,Cherry Pie,1 slice,135,340.0,135,11.0,1.0,55.0,"Desserts, sweets"
301,Custard,1 slice,130,265.0,130,10.0,0.0,34.0,"Desserts, sweets"
302,Lemon meringue,1 slice,120,300.0,120,10.0,1.0,45.0,"Desserts, sweets"
303,Mince,1 slice,135,340.0,135,8.0,70.0,62.0,"Desserts, sweets"
304,Pumpkin Pie,1 slice,130,265.0,130,11.0,8.0,34.0,"Desserts, sweets"
305,Puddings Sugar,1 cup,200,770.0,200,0.0,0.0,199.0,"Desserts, sweets"
306,3 teaspoons sugar,1 T.,12,50.0,12,0.0,0.0,12.0,"Desserts, sweets"
307,"Brown, firm-packed, dark sugar",1 cup,220,815.0,220,0.0,0.0,210.0,"Jams, Jellies"
308,Syrup,2 T.,40,100.0,40,0.0,0.0,25.0,"Jams, Jellies"
309,table blends sugar,2 T.,40,110.0,40,0.0,0.0,29.0,"Jams, Jellies"
310,Tapioca cream pudding,1 cup,250,335.0,250,9.0,0.0,42.0,"Desserts, sweets"
311,Almonds,1/2 cup,70,425.0,70,28.0,18.0,13.0,Seeds and Nuts
312,roasted and salted,1/2 cup,70,439.0,70,31.0,18.0,13.0,Seeds and Nuts
313,Brazil nuts,1/2 cup,70,457.0,70,31.0,2.0,7.0,Seeds and Nuts
314,Cashews,1/2 cup,70,392.0,70,28.0,9.0,20.0,Seeds and Nuts
315,coconut sweetened,1/2 cup,50,274.0,50,19.0,2.0,26.0,Seeds and Nuts
316,Peanut butter,1/3 cup,50,300.0,50,17.0,9.0,9.0,Seeds and Nuts
317,"Peanut butter, natural",1/3 cup,50,284.0,50,10.0,9.0,8.0,Seeds and Nuts
318,Peanuts,1/3 cup,50,290.0,50,16.0,12.0,9.0,Seeds and Nuts
319,Pecans,1/2 cup,52,343.0,52,25.0,11.0,7.0,Seeds and Nuts
320,Sesame seeds,1/2 cup,50,280.0,50,13.0,31.0,10.0,Seeds and Nuts
321,Sunflower seeds,1/2 cup,50,280.0,50,7.0,19.0,10.0,Seeds and Nuts
322,Walnuts,1/2 cup,50,325.0,50,7.0,1.0,8.0,Seeds and Nuts
323,Beer,2 cups,480,228.0,480,0.0,0.0,8.0,"Drinks,Alcohol, Beverages"
325,Wines,1/2 cup,120,164.0,120,0.0,0.0,9.0,"Drinks,Alcohol, Beverages"
326,Table (12.2% alcohol),1/2 cup,120,100.0,120,0.0,0.0,5.0,"Drinks,Alcohol, Beverages"
327,Carbonated drinks Artificially sweetened,12 oz.,346,0.0,346,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
328,Club soda,12 oz.,346,0.0,346,0.0,0.0,0.0,"Drinks,Alcohol, Beverages"
329,Cola drinks,12 oz.,346,137.0,346,0.0,0.0,38.0,"Drinks,Alcohol, Beverages"
330,Fruit-flavored soda,12 oz.,346,161.0,346,0.0,0.0,42.0,"Drinks,Alcohol, Beverages"
331,Ginger ale,12 oz.,346,105.0,346,0.0,0.0,28.0,"Drinks,Alcohol, Beverages"
332,Root beer,12 oz.,346,140.0,346,0.0,0.0,35.0,"Drinks,Alcohol, Beverages"
333,Coffee,1 cup,230,3.0,230,0.0,0.0,1.0,"Drinks,Alcohol, Beverages"
334,Tea,1 cup,230,4.0,230,0.0,0.0,1.0,"Drinks,Alcohol, Beverages"
